,t7,o3
2020-01-25 12:00:00,62.0,77.0
2020-01-25 13:00:00,74.0,85.0
2020-01-25 14:00:00,78.0,92.0
2020-01-25 15:00:00,81.0,97.0
2020-01-25 16:00:00,80.0,98.0
2020-01-25 17:00:00,77.0,98.0
2020-01-25 18:00:00,75.0,95.0
2020-01-25 19:00:00,71.0,91.0
2020-01-25 20:00:00,65.0,83.0
2020-01-25 21:00:00,58.0,78.0
2020-01-25 22:00:00,56.0,74.0
2020-01-25 23:00:00,56.0,73.0
2020-01-26 00:00:00,57.0,70.0
2020-01-26 01:00:00,56.0,66.0
2020-01-26 02:00:00,52.0,64.0
2020-01-26 03:00:00,47.0,60.0
2020-01-26 04:00:00,50.0,58.0
2020-01-26 05:00:00,46.0,56.0
2020-01-26 06:00:00,49.0,55.0
2020-01-26 07:00:00,51.0,52.0
2020-01-26 08:00:00,55.0,46.0
2020-01-26 09:00:00,53.0,41.0
2020-01-26 10:00:00,56.0,38.0
2020-01-26 11:00:00,67.0,42.0
2020-01-26 12:00:00,76.0,50.0
2020-01-26 13:00:00,84.0,50.0
2020-01-26 14:00:00,91.0,54.0
2020-01-26 15:00:00,96.0,61.0
2020-01-26 16:00:00,98.0,62.0
2020-01-26 17:00:00,99.0,63.0
2020-01-26 18:00:00,96.0,60.0
2020-01-26 19:00:00,90.0,53.0
2020-01-26 20:00:00,80.0,45.0
2020-01-26 21:00:00,75.0,40.0
2020-01-26 22:00:00,70.0,36.0
2020-01-26 23:00:00,69.0,37.0
2020-01-27 00:00:00,66.0,41.0
2020-01-27 01:00:00,64.0,49.0
2020-01-27 02:00:00,60.0,51.0
2020-01-27 03:00:00,58.0,48.0
2020-01-27 04:00:00,55.0,48.0
2020-01-27 05:00:00,53.0,46.0
2020-01-27 06:00:00,52.0,46.0
2020-01-27 07:00:00,49.0,43.0
2020-01-27 08:00:00,43.0,46.0
2020-01-27 09:00:00,38.0,44.0
2020-01-27 10:00:00,35.0,43.0
2020-01-27 11:00:00,40.0,46.0
2020-01-27 12:00:00,50.0,48.0
2020-01-27 13:00:00,51.0,49.0
2020-01-27 14:00:00,54.0,48.0
2020-01-27 15:00:00,60.0,49.0
2020-01-27 16:00:00,63.0,52.0
2020-01-27 17:00:00,63.0,52.0
2020-01-27 18:00:00,59.0,50.0
2020-01-27 19:00:00,52.0,45.0
2020-01-27 20:00:00,42.0,44.0
2020-01-27 21:00:00,37.0,45.0
2020-01-27 22:00:00,33.0,40.0
2020-01-27 23:00:00,33.0,40.0
2020-01-28 00:00:00,38.0,38.0
2020-01-28 01:00:00,44.0,34.0
2020-01-28 02:00:00,46.0,30.0
2020-01-28 03:00:00,45.0,26.0
2020-01-28 04:00:00,45.0,23.0
2020-01-28 05:00:00,44.0,24.0
2020-01-28 06:00:00,44.0,26.0
2020-01-28 07:00:00,42.0,23.0
2020-01-28 08:00:00,44.0,21.0
2020-01-28 09:00:00,44.0,21.0
2020-01-28 10:00:00,43.0,22.0
2020-01-28 11:00:00,44.0,27.0
2020-01-28 12:00:00,45.0,39.0
2020-01-28 13:00:00,45.0,46.0
2020-01-28 14:00:00,46.0,48.0
2020-01-28 15:00:00,48.0,48.0
2020-01-28 16:00:00,51.0,52.0
2020-01-28 17:00:00,50.0,54.0
2020-01-28 18:00:00,50.0,50.0
2020-01-28 19:00:00,44.0,39.0
2020-01-28 20:00:00,44.0,25.0
2020-01-28 21:00:00,43.0,19.0
2020-01-28 22:00:00,38.0,19.0
2020-01-28 23:00:00,37.0,21.0
2020-01-29 00:00:00,33.0,24.0
2020-01-29 01:00:00,29.0,24.0
2020-01-29 02:00:00,25.0,23.0
2020-01-29 03:00:00,21.0,20.0
2020-01-29 04:00:00,18.0,19.0
2020-01-29 05:00:00,18.0,17.0
2020-01-29 06:00:00,21.0,17.0
2020-01-29 07:00:00,17.0,16.0
2020-01-29 08:00:00,14.0,14.0
2020-01-29 09:00:00,13.0,12.0
2020-01-29 10:00:00,16.0,14.0
2020-01-29 11:00:00,22.0,26.0
2020-01-29 12:00:00,34.0,47.0
2020-01-29 13:00:00,43.0,67.0
2020-01-29 14:00:00,44.0,77.0
2020-01-29 15:00:00,44.0,81.0
2020-01-29 16:00:00,49.0,86.0
2020-01-29 17:00:00,51.0,88.0
2020-01-29 18:00:00,47.0,83.0
2020-01-29 19:00:00,35.0,72.0
2020-01-29 20:00:00,18.0,60.0
2020-01-29 21:00:00,12.0,48.0
2020-01-29 22:00:00,13.0,38.0
2020-01-29 23:00:00,15.0,33.0
2020-01-30 00:00:00,18.0,32.0
2020-01-30 01:00:00,18.0,24.0
2020-01-30 02:00:00,18.0,24.0
2020-01-30 03:00:00,15.0,25.0
2020-01-30 04:00:00,16.0,29.0
2020-01-30 05:00:00,13.0,31.0
2020-01-30 06:00:00,14.0,34.0
2020-01-30 07:00:00,13.0,28.0
2020-01-30 08:00:00,8.0,26.0
2020-01-30 09:00:00,7.0,21.0
2020-01-30 10:00:00,9.0,20.0
2020-01-30 11:00:00,23.0,34.0
2020-01-30 12:00:00,46.0,51.0
2020-01-30 13:00:00,66.0,66.0
2020-01-30 14:00:00,76.0,75.0
2020-01-30 15:00:00,80.0,76.0
2020-01-30 16:00:00,85.0,75.0
2020-01-30 17:00:00,86.0,70.0
2020-01-30 18:00:00,81.0,65.0
2020-01-30 19:00:00,69.0,60.0
2020-01-30 20:00:00,54.0,53.0
2020-01-30 21:00:00,40.0,51.0
2020-01-30 22:00:00,28.0,47.0
2020-01-30 23:00:00,18.0,47.0
2020-01-31 00:00:00,16.0,47.0
2020-01-31 02:00:00,15.0,48.0
2020-01-31 03:00:00,16.0,49.0
2020-01-31 04:00:00,22.0,50.0
2020-01-31 05:00:00,25.0,51.0
2020-01-31 06:00:00,27.0,49.0
2020-01-31 07:00:00,23.0,47.0
2020-01-31 08:00:00,20.0,41.0
